"first_name,last_name,full_name,email,Profession,Salary,Age,Experience,Gender,JobS,Country"
"Alice,Brown,Alice Brown,ab@gmail.com,Business Analyst,58000.0,24.0,5,F,Yes,United States"
"Robin,Khan,Robin Khan,rk@gmail.com,Data Analyst,45000.0,23.0,3,M,Yes,Bangladesh"
"Shahin,Khan,Shahin Khan,sk@yahoo.com,Missing,38000.0,22.0,2,M,No,India"
"Nazmul,haque,Nazmul haque,nh@hotmail.com,Programmer,35000.0,24.0,,M,No,India"
"Abir,Hasan,Abir Hasan,ah@email.com,Data Scientist,,28.0,5,M,Yes,Canada"
",Newaz,,,,25000.0,26.0,Missing,,,Missing"
"NA,Akter,NA Akter,,Engineer,30000.0,25.0,,,,Bangladesh"
"Akash,Sarkar,Akash Sarkar,,Developer,,,,,Yes,India"
"Mahbub,Rahman,Mahbub Rahman,mrahman@gmail.com,,35000.0,,8,F,,Canada"
",,,,,40000.0,19.0,7,,Yes,United States"
"Missing,,,NA,No,48000.0,21.0,5,F,Yes,Bangladesh"
